id,description,fr
event.death.action.declare.form.section.informant.field.addressHelper.label,This is the label for the field,Lieu de résidence habituel
event.death.action.declare.form.section.informant.field.age.checkbox.label,This is the label for the field,Date exacte de naissance inconnue
event.death.action.declare.form.section.informant.field.age.label,This is the label for the field,Âge de l'informateur (au moment de l'événement)
event.death.action.declare.form.section.informant.field.age.postfix,This is the postfix for age field,ans
event.death.action.declare.form.section.informant.field.brn.label,This is the label for the field,Numéro d'identité
event.death.action.declare.form.section.informant.field.dob.error,This is the error message for invalid date,Doit être une date de naissance valide
event.death.action.declare.form.section.informant.field.dob.label,This is the label for the field,Date de naissance
event.death.action.declare.form.section.informant.field.email.label,This is the label for the field,Email
event.death.action.declare.form.section.informant.field.idType.label,This is the label for the field,Type d'identité
event.death.action.declare.form.section.informant.field.name.label,This is the label for the field,Nom de l'informateur
event.death.action.declare.form.section.informant.field.nationality.label,This is the label for the field,Nationalité
event.death.action.declare.form.section.informant.field.nid.label,This is the label for the field,Numéro d'identité
event.death.action.declare.form.section.informant.field.other.relation.label,This is the label for the field,Relation avec le défunt
event.death.action.declare.form.section.informant.field.passport.label,This is the label for the field,Numéro d'identité
event.death.action.declare.form.section.informant.field.phoneNo.error,"The error message that appears on phone numbers where the first two characters must be 07 or 09, and length must be 10",Doit être un nombre valide de 10 chiffres qui commence par 0(7|9)
event.death.action.declare.form.section.informant.field.phoneNo.label,This is the label for the field,Numéro de téléphone
event.death.action.declare.form.section.informant.field.relation.label,This is the label for the field,Type d'informateur
event.death.action.declare.form.section.spouse.field.address.addressSameAs.label,This is the label for the field,Identique au lieu de résidence habituel du défunt ?
event.death.action.declare.form.section.spouse.field.address.label,This is the label for the field,Lieu de résidence habituel
event.death.action.declare.form.section.spouse.field.addressHelper.label,This is the label for the field,Lieu de résidence habituel
event.death.action.declare.form.section.spouse.field.age.checkbox.label,This is the label for the field,Date exacte de naissance inconnue
event.death.action.declare.form.section.spouse.field.age.label,This is the label for the field,Âge du conjoint (au moment de l'événement)
event.death.action.declare.form.section.spouse.field.age.postfix,This is the postfix for age field,ans
event.death.action.declare.form.section.spouse.field.brn.label,This is the label for the field,Numéro d'identité
event.death.action.declare.form.section.spouse.field.detailsNotAvailable.label,This is the label for the field,Les informations du conjoint ne sont pas disponibles
event.death.action.declare.form.section.spouse.field.dob.error,This is the error message for invalid date,Doit être une date de naissance valide
event.death.action.declare.form.section.spouse.field.dob.label,This is the label for the field,Date de naissance
event.death.action.declare.form.section.spouse.field.idType.label,This is the label for the field,Type d'identité
event.death.action.declare.form.section.spouse.field.name.label,This is the label for the field,Nom du conjoint
event.death.action.declare.form.section.spouse.field.nationality.label,This is the label for the field,Nationalité
event.death.action.declare.form.section.spouse.field.nid.label,This is the label for the field,Numéro d'identité
event.death.action.declare.form.section.spouse.field.passport.label,This is the label for the field,Numéro d'identité
event.death.action.declare.form.section.spouse.field.reason.label,This is the label for the field,Raison
event.death.action.declare.label,This is shown as the action name anywhere the user can trigger the action from,Déclarer
event.death.action.detect-duplicate.label,This is shown as the action name anywhere the user can trigger the action from,
event.death.action.edit.declare.copy,Confirmation text for the declare with edits action,Vous êtes sur le point de redéclarer cet événement avec vos modifications. Cela mettra à jour définitivement la déclaration.
event.death.action.edit.notify.copy,Confirmation text for the notify with edits action,Êtes-vous sûr de vouloir notifier cet événement avec ces modifications ?
event.death.action.edit.register.copy,Confirmation text for the register with edits action,Vous êtes sur le point d'enregistrer cet événement avec vos modifications. L'enregistrement de cet événement créera un dossier d'état civil officiel.
event.death.action.form.section.alienNumberDetails.label,Field for entering Alien Number details,Numéro d'étranger
event.death.action.form.section.brn.label,Field for entering Birth Registration Number,Numéro d'enregistrement de naissance
event.death.action.form.section.collector.other.field.name.label,This is the label for the name field of OTHER collector,Nom du collecteur
event.death.action.form.section.drivingLicenseDetails.label,Field for entering Driving License details,Permis de conduire
event.death.action.form.section.idNumberOther.label,"Field for entering ID Number if ""Other"" is selected",Numéro d'identité
event.death.action.form.section.idType.alienNumber.label,Option for selecting Alien Number as the ID type,Numéro d'étranger
event.death.action.form.section.idType.brn.label,Option for selecting Birth Registration Number as the ID type,Numéro d'enregistrement de naissance
event.death.action.form.section.idType.drivingLicense.label,Option for selecting Driving License as the ID type,Permis de conduire
event.death.action.form.section.idType.label,This is the label for selecting the type of ID,Type d'identité
event.death.action.form.section.idType.nid.label,Option for selecting National ID as the ID type,Carte nationale d'identité
event.death.action.form.section.idType.noId.label,Option for selecting No ID as the ID type,Aucune identité disponible
event.death.action.form.section.idType.other.label,Option for selecting Other as the ID type,Autre
event.death.action.form.section.idType.passport.label,Option for selecting Passport as the ID type,Passeport
event.death.action.form.section.idType.refugeeNumber.label,Option for selecting Refugee Number as the ID type,Numéro de réfugié
event.death.action.form.section.idTypeOther.label,"Field for entering ID type if ""Other"" is selected",Autre type d'identité
event.death.action.form.section.nid.label,Field for entering ID Number,Carte nationale d'identité
event.death.action.form.section.passportDetails.label,Field for entering Passport details,Passeport
event.death.action.form.section.refugeeNumberDetails.label,Field for entering Refugee Number details,Numéro de réfugié
event.death.action.form.section.relationshipToDeceased.label,This is the label for the relationship to deceased field,Relation avec le défunt
event.death.action.form.section.signedAffidavit.fileName,This is the label for the file name,Déclaration signée
event.death.action.form.section.signedAffidavit.label,This is the label for uploading a signed affidavit,Déclaration signée (Optionnel)
event.death.action.print.verifyIdentity,This is the title of the section,Vérifier l'identité
event.death.action.register.label,This is shown as the action name anywhere the user can trigger the action from,Enregistrer
event.death.action.register.supportingCopy,Confirmation text for the register action,L'enregistrement de cet événement de décès créera un dossier officiel d'état civil. Veuillez vous assurer que tous les détails sont corrects avant de continuer.
event.death.action.reject.label,This is shown as the action name anywhere the user can trigger the action from,
event.death.action.request-correction.label,This is shown as the action name anywhere the user can trigger the action from,Corriger l'enregistrement
event.death.custom.action.validate-declaration.audit-history-label,The label to show in audit history for the validate action,Validé
event.death.custom.action.validate-declaration.field.comments.label,This is the label for the comments field for the validate declaration action,Commentaires
event.death.custom.action.validate-declaration.label,This is shown as the action name anywhere the user can trigger the action from,Valider
event.death.custom.action.validate-declaration.supportingCopy,This is the supporting copy for the Validate declaration -action,
event.death.label,This is what this event is referred as in the system,Décès
event.death.summary.eventDetails.date.empty,This is shown when there is no date of death information,Aucune date de décès
event.death.summary.eventDetails.deathLocation.empty,This is shown when there is no death location information,Aucun lieu de décès
event.death.summary.eventDetails.deathLocation.label,Label for place of death,Lieu de décès
event.death.summary.eventDetails.placeOfDeath.empty,This is shown when there is no death location information,Aucun lieu de décès
event.death.summary.eventDetails.placeOfDeath.label,Label for place of death,Lieu de décès
event.death.summary.informant.contact.empty,This is shown when there is no informant information,Aucun contact fourni
event.death.summary.informant.contact.label,This is the label for the informant information,Contact
event.death.summary.informant.contact.value,This is the contact value of the informant,{informant.phoneNo} {informant.email}
event.death.title,This is the title of the summary,{deceased.name.firstname} {deceased.name.surname}
event.tennis-club-membership.action.certificate.form.cancel,This is the label for the verification cancellation button,L'identité ne correspond pas
event.tennis-club-membership.action.certificate.form.cancel.confirmation.body,This is the body for the verification cancellation modal,"Veuillez noter que si vous continuez, vous serez responsable de la délivrance d'un certificat sans la preuve d'identité nécessaire du collecteur."
event.tennis-club-membership.action.certificate.form.cancel.confirmation.title,This is the title for the verification cancellation modal,Imprimer sans preuve d'identité ?
event.tennis-club-membership.action.certificate.form.label,This is what this form is referred as in the system,Tennis club membership certificate collector
event.tennis-club-membership.action.certificate.form.section.collectPayment.data.label,Title for the data section,Détails du paiement
event.tennis-club-membership.action.certificate.form.section.collectPayment.fee.label,Title for the data entry,Frais
event.tennis-club-membership.action.certificate.form.section.collectPayment.service.label,Title for the data entry,Service
event.tennis-club-membership.action.certificate.form.section.requester.informant.label,This is the label for the field,Print and issue Informant
event.tennis-club-membership.action.certificate.form.section.requester.label,This is the label for the field,Requester
event.tennis-club-membership.action.certificate.form.section.requester.other.label,This is the label for the field,Print and issue someone else
event.tennis-club-membership.action.certificate.form.section.requester.printInAdvance.label,This is the label for the field,Imprimer à l'avance pour les signatures et la collecte
event.tennis-club-membership.action.certificate.form.section.verifyIdentity.data.label,Title for the data section,
event.tennis-club-membership.action.certificate.form.section.verifyIdentity.data.subtitle,Subtitle for the data section,
event.tennis-club-membership.action.certificate.form.section.who.title,This is the title of the section,Imprimer une copie certifiée
event.tennis-club-membership.action.certificate.form.verify,This is the label for the verification button,Vérifié
event.tennis-club-membership.action.collect-certificate.label,This is shown as the action name anywhere the user can trigger the action from,Imprimer le certificat
event.tennis-club-membership.action.declare.form.label,This is what this form is referred as in the system,Tennis club membership application
event.tennis-club-membership.action.declare.form.review.print-record.label,Print,
event.tennis-club-membership.action.declare.form.review.print.button.label,Print button's label,
event.tennis-club-membership.action.declare.form.review.print.label,Print,
event.tennis-club-membership.action.declare.form.review.title,Title of the review page,"{applicant.name.firstname, select, __EMPTY__ {{applicant.name.surname, select, __EMPTY__ {Déclaration des membres} other {Déclaration des membres pour {applicant.name.surname}}}} other {{applicant.name.surname, select, __EMPTY__ {Déclaration des membres pour {applicant.name.firstname}} other {Déclaration des membres pour {applicant.name.firstname} {applicant.name.surname}}}}}"
event.tennis-club-membership.action.declare.form.section.recommender.device,This is the label for the field,
event.tennis-club-membership.action.declare.form.section.recommender.field.firstname.label,This is the label for the field,Recommender's first name
event.tennis-club-membership.action.declare.form.section.recommender.field.id.label,This is the label for the field,Recommender's membership ID
event.tennis-club-membership.action.declare.form.section.recommender.field.none.label,This is the label for the field,No recommender
event.tennis-club-membership.action.declare.form.section.recommender.field.search.label,This is the label for the field,
event.tennis-club-membership.action.declare.form.section.recommender.role,This is the label for the field,
event.tennis-club-membership.action.declare.form.section.recommender.title,This is the title of the section,Who is recommending the applicant?
event.tennis-club-membership.action.declare.form.section.recommender2.field.id.label,This is the label for the field,
event.tennis-club-membership.action.declare.form.section.recommender2.fullHonorificName,This is the label for the field,
event.tennis-club-membership.action.declare.form.section.recommender3.field.id.label,This is the label for the field,
event.tennis-club-membership.action.declare.form.section.recommender4.field.id.label,This is the label for the field,
event.tennis-club-membership.action.declare.form.section.recommender5.field.id.label,This is the label for the field,
event.tennis-club-membership.action.declare.form.section.senior-pass.field.id.label,This is the label for the field,
event.tennis-club-membership.action.declare.form.section.senior-pass.title,This is the title of the section,
event.tennis-club-membership.action.declare.form.section.who.field.dob.error,This is the error message for invalid date,Doit être une date de naissance valide
event.tennis-club-membership.action.declare.form.section.who.field.dob.label,This is the label for the field,Applicant's date of birth
event.tennis-club-membership.action.declare.form.section.who.field.image.label,This is the label for the field,Applicant's profile picture
event.tennis-club-membership.action.declare.form.section.who.field.isRecommendedByFieldAgent.label,This is the label for the field,
event.tennis-club-membership.action.declare.form.section.who.field.name.label,This is the title for the name field,Nom du demandeur
event.tennis-club-membership.action.declare.form.section.who.field.tob.label,This is the label for the time of birth field,
event.tennis-club-membership.action.declare.form.section.who.title,This is the title of the section,Who is applying for the membership?
event.tennis-club-membership.action.declare.label,This is shown as the action name anywhere the user can trigger the action from,Send an application
event.tennis-club-membership.action.form.section.alienNumberDetails.label,Field for entering Alien Number details,Alien Number Details
event.tennis-club-membership.action.form.section.drivingLicenseDetails.label,Field for entering Driving License details,Driving License Details
event.tennis-club-membership.action.form.section.firstName.label,This is the label for the first name field,First Name
event.tennis-club-membership.action.form.section.idType.alienNumber.label,Option for selecting Alien Number as the ID type,Numéro de l'étranger
event.tennis-club-membership.action.form.section.idType.drivingLicense.label,Option for selecting Driving License as the ID type,Driving License
event.tennis-club-membership.action.form.section.idType.label,This is the label for selecting the type of ID,Select Type of ID
event.tennis-club-membership.action.form.section.idType.noId.label,Option for selecting No ID as the ID type,No ID
event.tennis-club-membership.action.form.section.idType.other.label,Option for selecting Other as the ID type,Autre
event.tennis-club-membership.action.form.section.idType.passport.label,Option for selecting Passport as the ID type,Passeport
event.tennis-club-membership.action.form.section.idType.refugeeNumber.label,Option for selecting Refugee Number as the ID type,Numéro du réfugié
event.tennis-club-membership.action.form.section.idTypeOther.label,"Field for entering ID type if ""Other"" is selected",Other ID Type (if applicable)
event.tennis-club-membership.action.form.section.lastName.label,This is the label for the last name field,Last Name
event.tennis-club-membership.action.form.section.passportDetails.label,Field for entering Passport details,Passport Details
event.tennis-club-membership.action.form.section.refugeeNumberDetails.label,Field for entering Refugee Number details,Refugee Number Details
event.tennis-club-membership.action.form.section.relationshipToMember.label,This is the label for the relationship to member field,Relationship to Member
event.tennis-club-membership.action.form.section.signedAffidavit.label,This is the label for uploading a signed affidavit,Signed Affidavit (Optional)
event.tennis-club-membership.action.print.collectPayment,This is the title of the section,
event.tennis-club-membership.action.print.verifyIdentity,This is the title of the section,Vérifier l'identité
event.tennis-club-membership.action.read.label,Title of the review page,
event.tennis-club-membership.action.register.label,This is shown as the action name anywhere the user can trigger the action from,Enregistrer
event.tennis-club-membership.action.request-correction.label,This is shown as the action name anywhere the user can trigger the action from,Request correction
event.tennis-club-membership.action.requestCorrection.form.section.corrector,This is the title of the section,Qui demande une modification de ce dossier ?
event.tennis-club-membership.action.requestCorrection.form.section.verify,This is the title of the section,Vérifier leur identité
event.tennis-club-membership.action.requestCorrection.label,This is shown as the action name anywhere the user can trigger the action from,Request correction
event.tennis-club-membership.fallbackTitle,This is a fallback title if actual title resolves to empty string,
event.tennis-club-membership.label,This is what this event is referred as in the system,Tennis club membership application
event.tennis-club-membership.search.applicants,Applicant details search field section title,Détails du demandeur
event.tennis-club-membership.search.recommender,Recommender details search field section title,Détails du référent
event.tennis-club-membership.search.recommender.id,Recommender id search field title,
event.tennis-club-membership.summary.field.applicant.firstname.empty,Shown when the applicant's first name is missing in summary,Applicant's first name missing
event.tennis-club-membership.summary.field.applicant.firstname.label,Label for the applicant's first name field,Applicant's First Name
event.tennis-club-membership.summary.field.recommender.firstname.empty,Shown when the recommender first name is missing in summary,Recommender's first name missing
event.tennis-club-membership.summary.field.recommender.firstname.label,Label for the recommender’s first name field,Recommender's First Name
event.tennis-club-membership.summary.field.recommender.id.empty,Shown when the recommender id is missing in summary,Recommender's id missing
event.tennis-club-membership.summary.field.recommender.id.label,Label for the recommender’s ID field,Recommender's ID
event.tennis-club-membership.title,This is the title of the summary,
event.tennis-club.registrationDuration.label,This is the label for the field,
event.tennis-club.registrationDuration.placeholder,This is the placeholder for the field,
field.address.addressLine1.label,This is the label for the field,Adresse Ligne 1
field.address.addressLine2.label,This is the label for the field,Adresse Ligne 2
field.address.addressLine3.label,This is the label for the field,Adresse Ligne 3
field.address.cityOrTown.label,This is the label for the field,Ville / Commune
field.address.district.label,Label for district in address,District
field.address.district2.label,This is the label for the field,District
field.address.district2.label.required,District2 required message,
field.address.number.label,This is the label for the field,Numéro
field.address.postcodeOrZip.label,This is the label for the field,Code postal / Zip
field.address.province.label,Label for province in address,Province
field.address.residentialArea.label,This is the label for the field,Zone de résidence
field.address.state.label,This is the label for the field,État
field.address.state.label.required,State required message,
field.address.street.label,This is the label for the field,Rue
field.address.town.label,This is the label for the field,Ville
field.address.village.label,Label for village in address,Village
form.birth.child.title,Form section title for Child,information de l'enfant
form.customField.label.favoriteColor,A form field that asks for the persons favorite color.,
form.customField.label.numberOfDependants,A form field that asks for the persons number of dependants.,Nombre de personnes à charge
form.customField.label.reasonForLateRegistrationBirth,A form field that asks the reason for a late registration.,Raison du retard d'inscription
form.customField.label.reasonForLateRegistrationDeath,A form field that asks the reason for a late registration.,Raison de l'inscription tardive
form.death.deceased.title,Form section title for Deceased,
form.death.eventDetails.title,Form section title for event details,
form.field.helpertext.nid,Helper text for nid input field,Le numéro d'identification national doit être uniquement numérique et comporter 10 chiffres
form.field.label.No,Label for form field radio option No,Non
form.field.label.Yes,Label for form field radio option Yes,Ouio
form.field.label.addressLine1,Title for the address line 1,
form.field.label.addressLine2,Title for the address line 2,Zone / Quartier / Mouja / Village
form.field.label.ageOfBride,Label for form field: Age of bride,Âge de la mariée
form.field.label.ageOfDeceased,Label for form field: Age of deceased,âge du défunt
form.field.label.ageOfFather,Label for form field: Age of father,Âge du père
form.field.label.ageOfGroom,Label for form field: Age of groom,Âge du marié
form.field.label.ageOfInformant,Label for form field: Age of informant,Âge de l'informateur
form.field.label.ageOfMother,Label for form field: Age of mother,Âge de la mère
form.field.label.ageOfSpouse,Label for form field: Age of spouse,Âge du conjoint
form.field.label.app.whoContDet.mother,Label for mother,Mère
form.field.label.assignedResponsibilityProof,Label for docuemnt option Proof of assigned responsibility,Preuve de l'attribution de la responsabilité
form.field.label.attBirthOtherParaPers,Label for form field: Attendant at birth,Autre personnel paramédical
form.field.label.attendantAtBirth,Label for form field: Attendant at birth,Accoucheur
form.field.label.attendantAtBirthLayperson,Label for layperson attendant,personne lamda
form.field.label.attendantAtBirthMidwife,Label for midwife attendant,Sage-femme
form.field.label.attendantAtBirthNone,Label for no attendant,Aucun
form.field.label.attendantAtBirthNurse,Label for nurse attendant,Infirmière
form.field.label.attendantAtBirthOtherParamedicalPersonnel,Label for other paramedical personnel,Autre personnel paramédical
form.field.label.attendantAtBirthPhysician,Label for physician attendant,Médecin
form.field.label.attendantAtBirthTraditionalBirthAttendant,Label for traditional birth attendant,Accoucheur(se) Traditionnel(le)
form.field.label.birthType,Label for form field: Type of birth,Type d'accouchement
form.field.label.birthTypeHigherMultipleDelivery,Label for higher multiple delivery birth,Accouchement multiple supérieur
form.field.label.birthTypeQuadruplet,Label for quadruplet birth,Quadruplet
form.field.label.birthTypeSingle,Label for single birth,Célibataire
form.field.label.birthTypeTriplet,Label for triplet birth,Triplet
form.field.label.birthTypeTwin,Label for twin birth,Jumeau
form.field.label.causeOfDeathEstablished,Label for form field: Cause of Death Established,La cause du décès a été établie
form.field.label.causeOfDeathMethod,Source of cause of death,Source de la cause du décès
form.field.label.causeOfDeathProof,Label for doc section: Proof of cause of death,Preuve de la cause du décès
form.field.label.city,Title for the address line 4,
form.field.label.confirm,confirmation label for yes / no radio button,Oui
form.field.label.country,Title for the country select,Pays
form.field.label.dateOfBirth,Label for form field: Date of birth,Date de naissance
form.field.label.dateOfMarriage,Option for form field: Date of marriage,Date du mariage
form.field.label.deathDescription,Description of cause of death by lay person or verbal autopsy,Description
form.field.label.deceasedDeathProof,Option for radio group field: Type of Document To Upload,Preuve du décès du défunt
form.field.label.deceasedDocumentParagraph,Documents Paragraph text,"Pour l'enregistrement d'un décès, les documents suivants sont requis :"
form.field.label.deceasedIDProof,Option for radio group field: Type of Document To Upload,Preuve de l'identité de la personne décédée
form.field.label.deceasedPrimaryAddress,Title for the primary address fields for the deceased,Lieu de résidence habituel
form.field.label.deceasedSecondaryAddress,Title for the secondary address fields for the deceased,Adresse secondaire
form.field.label.deny,deny label for yes / no radio button,Non
form.field.label.docTypeBirthCert,Label for select option birth certificate,Certificat de la naissance
form.field.label.docTypeChildBirthProof,Label for select option Notification of birth,Notification de la naissance
form.field.label.docTypeCopyOfBurialReceipt,Label for select option Certified Copy of Burial Receipt,Copie certifiée du reçu d'enterrement
form.field.label.docTypeCoronersReport,Label for select option Coroner's report,Rapport du médecin légiste
form.field.label.docTypeHospitalDeathCertificate,Label for select option Hospital certificate of death,Certificat de décès émis par l'hôpital
form.field.label.docTypeLetterOfDeath,Label for select option Attested Letter of Death,Lettre de décès attestée
form.field.label.docTypeMarriageNotice,Label for document section for marriage notice,Avis de mariage
form.field.label.docTypeNID,Label for select option radio option NID,Carte d'identité nationale
form.field.label.docTypeOther,Option for form field: Other,Autre
form.field.label.docTypePassport,Label for radio option Passport,Passeport
form.field.label.docTypePoliceCertificate,Label for select option Police death certificate,Certificat de décès de la police
form.field.label.educationAttainment,Label for form field: Education Attainment,Niveau d'éducation
form.field.label.educationAttainmentISCED1,Option for form field: ISCED1 education,Primaire
form.field.label.educationAttainmentISCED4,Option for form field: ISCED4 education,Secondaire
form.field.label.educationAttainmentISCED5,Option for form field: ISCED5 education,Tertiaire
form.field.label.educationAttainmentNone,Option for form field: no education,Pas de scolarité
form.field.label.email,Input label for email,e-mail
form.field.label.empty,empty string,
form.field.label.exactDateOfBirthUnknown,Checkbox for exact date of birth unknown,Date de naissance exacte inconnue
form.field.label.familyName,Label for family name text input,Nom de famille
form.field.label.fathersDetailsExist,Question to ask the user if they have the father's details,Pas d'information sur le père
form.field.label.firstName,Input label for certificate collector's first name,Prénom(s)
form.field.label.firstNames,Label for form field: First names,Prénom(s)
form.field.label.healthInstitution,Select item for Health Institution,Institution de santé
form.field.label.iD,A form field that asks for the id number.,Numéro d'identification
form.field.label.iDType,A form field that asks for the type of ID.,Type d'identification
form.field.label.iDTypeAlienNumber,Option for form field: Type of ID,Numéro d'étranger
form.field.label.iDTypeBRN,Option for form field: Type of ID,Numéro d'enregistrement de naissance
form.field.label.iDTypeBirthCertificate,Option for form field: Type of ID,
form.field.label.iDTypeDRN,Option for form field: Type of ID,Numéro d'enregistrement de décès
form.field.label.iDTypeDrivingLicense,Option for form field: Type of ID,Permis de conduire
form.field.label.iDTypeNationalID,Option for form field: Type of ID,Carte d'identité nationale
form.field.label.iDTypeNoID,Option for form field: Type of ID,Aucune pièce d'identité disponible
form.field.label.iDTypeNone,Option for form field: Type of ID,Aucun
form.field.label.iDTypeOther,Option for form field: Type of ID,Autre
form.field.label.iDTypePassport,Option for form field: Type of ID,Passeport
form.field.label.iDTypeRefugeeNumber,Option for form field: Type of ID,Numéro de réfugié
form.field.label.informantPrimaryAddress,Title for the primary address fields for the informant,Quelle est l'adresse de leur domicile ?
form.field.label.informantRelation.bride,Label for option bride,Mariée
form.field.label.informantRelation.brother,Label for option brother,Frère
form.field.label.informantRelation.contactPoint,Label for option Contact point,point de contact
form.field.label.informantRelation.daughter,Label for option daughter,Fille
form.field.label.informantRelation.daughterInLaw,Label for option daughter in law,Fille par alliance
form.field.label.informantRelation.father,Label for option father,Père
form.field.label.informantRelation.granddaughter,Label for option Granddaughter,Petite-fille
form.field.label.informantRelation.grandfather,Label for option Grandfather,Grand-père
form.field.label.informantRelation.grandmother,Label for option Grandmother,Grand-mère
form.field.label.informantRelation.grandson,Label for option Grandson,Petit-fils
form.field.label.informantRelation.groom,Label for option groom,Marié
form.field.label.informantRelation.legalGuardian,Label for option Legal Guardian,Tuteur légal
form.field.label.informantRelation.mother,Label for option mother,Mère
form.field.label.informantRelation.others,Label for option someone else,Quelqu'un d'autre
form.field.label.informantRelation.sister,Label for option Sister,Sœur
form.field.label.informantRelation.son,Label for option son,Fils
form.field.label.informantRelation.sonInLaw,Label for option son in law,Fils par alliance
form.field.label.informantRelation.spouse,Label for option spouse,Conjoint
form.field.label.informantSecondaryAddress,Title for the secondary address fields for the informant,Adresse secondaire
form.field.label.informantTitle,Label for informant details,Coordonnées de l'informateur
form.field.label.informantsRelationWithChild,Label for Relationship to child,Lien de parenté avec l'enfant
form.field.label.internationalAddressLine1,Title for the international address line 1 select,Adresse ligne 1
form.field.label.internationalAddressLine2,Title for the international address line 2 select,Ligne d'adresse 2
form.field.label.internationalAddressLine3,Title for the international address line 3 select,Ligne d'adresse 3
form.field.label.internationalCity,Title for the international city select,Ville / Village
form.field.label.internationalDistrict,Title for the international district select,District
form.field.label.internationalPostcode,Title for the international postcode,Code postal / Zip
form.field.label.internationalState,Title for the international state select,État
form.field.label.lastNameAtBirth,Label for a different last name text input,Nom de famille à la naissance (si différent de ci-dessus)
form.field.label.layReported,Label for form field: Lay reported,Rapport anonyme
form.field.label.legalGuardianProof,Label for document option Proof of legal guardianship,Preuve de la tutelle légale
form.field.label.mannerOfDeath,Label for form field: Manner of death,Mode de décès
form.field.label.mannerOfDeathAccident,Option for form field: Manner of death,Accident
form.field.label.mannerOfDeathHomicide,Option for form field: Manner of death,Homicide
form.field.label.mannerOfDeathNatural,Option for form field: Manner of death,Cause naturelle
form.field.label.mannerOfDeathSuicide,Option for form field: Manner of death,Suicide
form.field.label.mannerOfDeathUndetermined,Option for form field: Manner of death,Manière indéterminée
form.field.label.maritalStatus,Label for form field: Marital status,Statut matrimonial
form.field.label.maritalStatusDivorced,Option for form field: Marital status,Divorcé(e)
form.field.label.maritalStatusMarried,Option for form field: Marital status,Marié(e)
form.field.label.maritalStatusNotStated,Option for form field: Marital status,Non déclaré
form.field.label.maritalStatusSeparated,Option for form field: Marital status,Séparé(e)
form.field.label.maritalStatusSingle,Option for form field: Marital status,Célibataire
form.field.label.maritalStatusWidowed,Option for form field: Marital status,Veuf(ve)
form.field.label.marriedLastName,Label for married last name text input,Marié Nom de famille (si différent)
form.field.label.medicallyCertified,Option for form field: Method of Cause of Death,Cause officielle du décès
form.field.label.middleName,Label for middle name text input,Deuxième prénom
form.field.label.monogamy,Option for form field: Monogamy,Monogame
form.field.label.mothersDetailsExist,Question to ask the user if they have the mother's details,Pas d'information sur la mère
form.field.label.multipleBirth,Label for form field: multipleBirth,Nombre de naissances antérieures
form.field.label.nationality,Label for form field: Nationality,Nationalité
form.field.label.number,Title for the number field,
form.field.label.occupation,text for occupation form field,Profession
form.field.label.other,Option for form field: Other,
form.field.label.otherBirthSupportingDocuments,Option for other supporting documents,Autre
form.field.label.otherInstitution,Select item for Other location,Autre
form.field.label.phoneNumber,Input label for phone input,Numéro de téléphone
form.field.label.physician,Label for form field: physician,Médecin
form.field.label.placeOfBirth,Label for form field: Place of delivery,Lieu
form.field.label.placeOfBirthPreview,Title for place of birth sub section,Lieu de l'accouchement
form.field.label.placeOfDeath,Title for place of death sub section,Où le décès s'est-il produit ?
form.field.label.placeOfDeathSameAsPrimary,Option for place of occurrence of death same as deceased primary address,Lieu de résidence habituel du défunt
form.field.label.placeOfMarriage,Label for form field: Place of occurrence of marriage,Lieu du mariage
form.field.label.polygamy,Option for form field: Polygamy,Polygame
form.field.label.primaryAddress,Title of the primary adress,Lieu de résidence habituel
form.field.label.primaryAddressSameAsDeceasedsPrimary,Label for informant's address to be same as deceased's usual place of residence,Le même que le lieu de résidence habituel du défunt ?
form.field.label.primaryAddressSameAsOtherPrimary,Title for the radio button to select that the persons primary address is the same as the mother's primary address,Même que le lieu de résidence habituel de la mère ?
form.field.label.privateHome,Select item for Private Home,Adresse de résidence
form.field.label.proofOfBirth,Label for list item Proof of birth,Preuve de naissance
form.field.label.proofOfBirth.fileName,The following documents are required,
form.field.label.proofOfBridesID,Label for list item Bride ID Proof,Preuve de l'identité de la mariée
form.field.label.proofOfFathersID,Label for list item Father ID Proof,Identité du père
form.field.label.proofOfGroomsID,Label for list item Groom ID Proof,Preuve de l'identité du marié
form.field.label.proofOfInformantsID,Option for radio group field: Type of Document To Upload,Identité de l'informateur
form.field.label.proofOfMarriageNotice,Label for list item notice of marriage,Déclaration d'intention de mariage
form.field.label.proofOfMothersID,Label for list item Mother ID Proof,Identité de la mère
form.field.label.reasonNotApplying,This is the label for reason field,Motif de la mère
form.field.label.registrationName,Label for registration name,nom d'enregistrement
form.field.label.relationOtherFamilyMember,Label for other family member relation,Autre membre de la famille
form.field.label.relationshipPlaceHolder,Relationship place holder,ex. Grand-mère
form.field.label.relationshipToSpouses,Input label for witness's relationship with spouses,Relation avec les époux
form.field.label.rural,Label for form field checkbox option Rural,Zone rurale
form.field.label.secondaryAddress,Title for the secondary address fields,Adresse secondaire
form.field.label.sex,Label for form field: Sex name,Sexe
form.field.label.sexFemale,Label for option female,Femme
form.field.label.sexMale,Label for option male,Homme
form.field.label.sexUnknown,Label for option unknown,Inconnu
form.field.label.spouseDetailsExist,Question to ask the user if they have the spouse's details,Pas d'information sur le conjoint
form.field.label.typeOfMarriage,Option for form field: Type of marriage,Type de mariage
form.field.label.urban,Label for form field checkbox option Urban,Urbain
form.field.label.verbalAutopsy,Option for form field: verbalAutopsy,Autopsie verbale
form.field.label.verbalAutopsyReport,Option for form field: verbalAutopsy,Rapport d'autopsie verbal
